,City,Country,Lat,Lng,Hotel Name
442,Rudnichnyy,RU,59.62,52.47,
443,Diu,IN,20.71,70.98,Azzaro Resorts & Ganga Spa
444,Conakry,GN,9.54,-13.68,Noom Hotel Conakry
445,Tselinnoye,RU,53.08,85.67,Zolotaya Podkova
446,Kletskaya,RU,49.31,43.06,
447,Antofagasta,CL,-23.65,-70.4,Hampton by Hilton Antofagasta
448,Batouri,CM,4.43,14.37,Hotel Hollywood
449,Matara,LK,5.95,80.54,Amaloh Boutique Resort
450,Tabas,IR,33.6,56.92,Amir hotel
451,Hualmay,PE,-11.1,-77.61,Hotel Villa Kitzia Huacho
452,Bloomsburg,US,41.0,-76.45,Fairfield Inn & Suites by Marriott Bloomsburg
453,Biankouma,CI,7.74,-7.61,Hôtel Licolais
454,Luena,AO,-11.78,19.92,Hotel Kandamba
456,Wanaka,NZ,-44.7,169.15,"Edgewater Hotel- Lake Wanaka, New Zealand"
457,Laguna,US,38.42,-121.42,Hilton Garden Inn Sacramento Elk Grove
458,Daura,NG,11.55,11.41,
459,Faya,SA,18.39,42.45,
460,Nouadhibou,MR,20.93,-17.03,Free Zone Hotel Nouadhibou
461,Kot Kapūra,IN,30.58,74.9,
463,Hlotse,LS,-28.87,28.05,Mountain View Hotel
464,Mackay,AU,-21.15,149.2,Ocean International Hotel
465,Alenquer,BR,-1.94,-54.74,Detinha Hotel
466,Sydney,AU,-33.87,151.21,Travelodge Hotel Sydney
